country,country_clean,region,is_developed,year,month,quarter,date,period,season,year_category,energy_source,energy_source_clean,source_category,energy_type,electricity_production_gwh,share_of_total,is_renewable,is_fossil,energy_intensity_category,is_outlier,is_negative,is_zero
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,2747.782,0.0200795602175218,False,True,Medium,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,31843.542,0.2325302376302145,True,False,High,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,73921.692,0.5368146654789634,False,True,High,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Net electricity production,Net Electricity Production,Other,Other,137590.832,1.0,False,False,Very High,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Nuclear,Nuclear,Nuclear,Clean Energy,6644.077,0.0480360917258523,False,False,Medium,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,20709.709,0.1499358342125646,False,True,High,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,14.912,0.0001088586618931,True,False,Low,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Total combustible fuels,Total Combustible Fuels,Fossil Fuel,Conventional,98499.693,0.7150367519716733,False,True,High,False,False,False
Argentina,Argentina,South America,False,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,588.61,0.0042880743363208,True,False,Low,False,False,False
